#FontName,#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle,FontRefMode
Noto Monospaced,NotoMono22pt7b,Fonts/NotoMono22pt7b.h,NULL,E_NOTO_MONO22,GSLC_FONTREF_PTR,&NotoMono22pt7b,1,Monospaced,22,PLAIN
Noto Monospaced,NotoMono24pt7b,Fonts/NotoMono24pt7b.h,NULL,E_NOTO_MONO24,GSLC_FONTREF_PTR,&NotoMono24pt7b,1,Monospaced,24,PLAIN
Noto Sans,NotoSans8pt7b,Fonts/NotoSans8pt7b.h,NULL,E_NOTO_SANS8,GSLC_FONTREF_PTR,&NotoSans8pt7b,1,SansSerif,8,PLAIN
Noto Sans,NotoSans10pt7b,Fonts/NotoSans10pt7b.h,NULL,E_NOTO_SANS10,GSLC_FONTREF_PTR,&NotoSans10pt7b,1,SansSerif,10,PLAIN
Noto Sans,NotoSans12pt7b,Fonts/NotoSans12pt7b.h,NULL,E_NOTO_SANS12,GSLC_FONTREF_PTR,&NotoSans12pt7b,1,SansSerif,12,PLAIN
Noto Sans,NotoSans14pt7b,Fonts/NotoSans14pt7b.h,NULL,E_NOTO_SANS14,GSLC_FONTREF_PTR,&NotoSans14pt7b,1,SansSerif,14,PLAIN
Noto Sans,NotoSans16pt7b,Fonts/NotoSans16pt7b.h,NULL,E_NOTO_SANS16,GSLC_FONTREF_PTR,&NotoSans16pt7b,1,SansSerif,16,PLAIN
Noto Sans,NotoSans18pt7b,Fonts/NotoSans18pt7b.h,NULL,E_NOTO_SANS18,GSLC_FONTREF_PTR,&NotoSans18pt7b,1,SansSerif,18,PLAIN
Noto Sans,NotoSans20pt7b,Fonts/NotoSans20pt7b.h,NULL,E_NOTO_SANS20,GSLC_FONTREF_PTR,&NotoSans20pt7b,1,SansSerif,20,PLAIN
Noto Sans,NotoSans22pt7b,Fonts/NotoSans22pt7b.h,NULL,E_NOTO_SANS22,GSLC_FONTREF_PTR,&NotoSans22pt7b,1,SansSerif,22,PLAIN
Noto Sans,NotoSans24pt7b,Fonts/NotoSans24pt7b.h,NULL,E_NOTO_SANS24,GSLC_FONTREF_PTR,&NotoSans24pt7b,1,SansSerif,24,PLAIN
Noto Sans,NotoSansBold8pt7b,Fonts/NotoSansBold8pt7b.h,NULL,E_NOTO_SANSB8,GSLC_FONTREF_PTR,&NotoSansBold8pt7b,1,SansSerif,8,BOLD
Noto Sans,NotoSansBold10pt7b,Fonts/NotoSansBold10pt7b.h,NULL,E_NOTO_SANSB10,GSLC_FONTREF_PTR,&NotoSansBold10pt7b,1,SansSerif,10,BOLD
Noto Sans,NotoSansBold12pt7b,Fonts/NotoSansBold12pt7b.h,NULL,E_NOTO_SANSB12,GSLC_FONTREF_PTR,&NotoSansBold12pt7b,1,SansSerif,12,BOLD
Noto Sans,NotoSansBold14pt7b,Fonts/NotoSansBold14pt7b.h,NULL,E_NOTO_SANSB14,GSLC_FONTREF_PTR,&NotoSansBold14pt7b,1,SansSerif,14,BOLD
Noto Sans,NotoSansBold16pt7b,Fonts/NotoSansBold16pt7b.h,NULL,E_NOTO_SANSB16,GSLC_FONTREF_PTR,&NotoSansBold16pt7b,1,SansSerif,16,BOLD
Noto Sans,NotoSansBold18pt7b,Fonts/NotoSansBold18pt7b.h,NULL,E_NOTO_SANSB18,GSLC_FONTREF_PTR,&NotoSansBold18pt7b,1,SansSerif,18,BOLD
Noto Sans,NotoSansBold20pt7b,Fonts/NotoSansBold20pt7b.h,NULL,E_NOTO_SANSB20,GSLC_FONTREF_PTR,&NotoSansBold20pt7b,1,SansSerif,20,BOLD
Noto Sans,NotoSansBold22pt7b,Fonts/NotoSansBold22pt7b.h,NULL,E_NOTO_SANSB22,GSLC_FONTREF_PTR,&NotoSansBold22pt7b,1,SansSerif,22,BOLD
Noto Sans,NotoSansBold24pt7b,Fonts/NotoSansBold24pt7b.h,NULL,E_NOTO_SANSB24,GSLC_FONTREF_PTR,&NotoSansBold24pt7b,1,SansSerif,24,BOLD
Noto Sans,NotoSansItalic8pt7b,Fonts/NotoSansItalic8pt7b.h,NULL,E_NOTO_SANSI8,GSLC_FONTREF_PTR,&NotoSansItalic8pt7b,1,SansSerif,8,ITALIC
Noto Sans,NotoSansItalic10pt7b,Fonts/NotoSansItalic10pt7b.h,NULL,E_NOTO_SANSI10,GSLC_FONTREF_PTR,&NotoSansItalic10pt7b,1,SansSerif,10,ITALIC
Noto Sans,NotoSansItalic12pt7b,Fonts/NotoSansItalic12pt7b.h,NULL,E_NOTO_SANSI12,GSLC_FONTREF_PTR,&NotoSansItalic12pt7b,1,SansSerif,12,ITALIC
Noto Sans,NotoSansItalic14pt7b,Fonts/NotoSansItalic14pt7b.h,NULL,E_NOTO_SANSI14,GSLC_FONTREF_PTR,&NotoSansItalic14pt7b,1,SansSerif,14,ITALIC
Noto Sans,NotoSansItalic16pt7b,Fonts/NotoSansItalic16pt7b.h,NULL,E_NOTO_SANSI16,GSLC_FONTREF_PTR,&NotoSansItalic16pt7b,1,SansSerif,16,ITALIC
Noto Sans,NotoSansItalic18pt7b,Fonts/NotoSansItalic18pt7b.h,NULL,E_NOTO_SANSI18,GSLC_FONTREF_PTR,&NotoSansItalic18pt7b,1,SansSerif,18,ITALIC
Noto Sans,NotoSansItalic20pt7b,Fonts/NotoSansItalic20pt7b.h,NULL,E_NOTO_SANSI20,GSLC_FONTREF_PTR,&NotoSansItalic20pt7b,1,SansSerif,20,ITALIC
Noto Sans,NotoSansItalic22pt7b,Fonts/NotoSansItalic22pt7b.h,NULL,E_NOTO_SANSI22,GSLC_FONTREF_PTR,&NotoSansItalic22pt7b,1,SansSerif,22,ITALIC
Noto Sans,NotoSansItalic24pt7b,Fonts/NotoSansItalic24pt7b.h,NULL,E_NOTO_SANSI24,GSLC_FONTREF_PTR,&NotoSansItalic24pt7b,1,SansSerif,24,ITALIC
Noto Sans,NotoSansBoldItalic8pt7b,Fonts/NotoSansBoldItalic8pt7b.h,NULL,E_NOTO_SANSBI8,GSLC_FONTREF_PTR,&NotoSansBoldItalic8pt7b,1,SansSerif,8,BOLD+ITALIC
Noto Sans,NotoSansBoldItalic10pt7b,Fonts/NotoSansBoldItalic10pt7b.h,NULL,E_NOTO_SANSBI10,GSLC_FONTREF_PTR,&NotoSansBoldItalic10pt7b,1,SansSerif,10,BOLD+ITALIC
Noto Sans,NotoSansBoldItalic12pt7b,Fonts/NotoSansBoldItalic12pt7b.h,NULL,E_NOTO_SANSBI12,GSLC_FONTREF_PTR,&NotoSansBoldItalic12pt7b,1,SansSerif,12,BOLD+ITALIC
Noto Sans,NotoSansBoldItalic14pt7b,Fonts/NotoSansBoldItalic14pt7b.h,NULL,E_NOTO_SANSBI14,GSLC_FONTREF_PTR,&NotoSansBoldItalic14pt7b,1,SansSerif,14,BOLD+ITALIC
